#{"t_start": 1573995991.967251, "env_id": "BipedalWalker-v2"}
r,l,t
-105.494488,101,0.332053
-107.047107,65,0.517325
-113.299708,59,0.687621
-105.928015,110,1.011001
-66.4944,1600,5.922069
-111.83296,59,12.231878
-78.505173,1600,167.162053
-94.635562,1600,372.436932
-169.662256,1021,505.023925
-89.551357,1600,710.742734
-168.140345,907,836.395168
-120.120374,103,846.631285
-149.172701,1203,1005.259993
-54.590595,1600,1212.21105
-107.1276,78,1222.873053
-106.802258,65,1231.724287
-113.868036,101,1246.476273
-111.790763,51,1254.344037
-105.752743,1600,1442.90475
-105.443671,45,1447.521272
-112.361197,62,1454.03626
-102.674925,1600,1645.499897
-77.276398,1600,1856.801663
-115.240468,91,1868.246158
-110.82749,69,1876.883341
-85.492764,1600,2089.773319
-103.639513,1600,2294.494665
-111.012906,46,2301.742701
-101.955542,1600,2507.34431
-91.223158,1600,2712.085694
-111.605023,83,2720.324786
-100.040638,1600,2915.307356
-116.675099,58,2922.363305
-88.486462,1600,3003.635687
-109.307069,52,3006.529966
-105.637277,39,3008.796658
-105.37195,49,3011.321562
-89.666676,1600,3080.639574
-99.460243,1600,3122.291779
-86.419172,1600,3161.27935
-115.788983,92,3163.3383
-110.450614,53,3164.575177
-113.912944,74,3166.490981
-109.623535,49,3167.576291
-88.81937,1600,3205.238887
-202.849204,1479,3237.698702
-111.064129,62,3239.025024
-106.943968,72,3240.622957
-107.534128,48,3241.709922
-112.297869,59,3242.998821
-114.127536,67,3244.492812
-84.815142,1600,3279.730737
-80.089187,1600,3314.886326
-81.434811,1600,3349.892186
-84.696809,1600,3384.95493
-86.894186,1600,3420.011736
-94.62733,1600,3454.869828
-87.285438,1600,3489.701173
-95.491124,1600,3524.899296
-96.614714,1600,3559.960511
-95.767351,1600,3594.997212
-80.849948,1600,3630.13433
-105.649459,72,3631.694425
-88.27387,1600,3667.107379
-73.715745,1600,3702.027642
-103.294845,52,3703.138164
-116.689953,94,3705.264286
-99.452563,53,3706.405177
-103.31667,56,3707.608478
-117.972843,185,3711.746488
-100.459755,76,3713.36263
-100.696208,63,3714.839059
-101.872439,78,3716.520314
-98.235899,96,3718.554662
-101.611128,104,3720.892036
-96.468447,124,3723.511027
-92.416024,1600,3758.448087
-79.936591,1600,3793.429881
-63.497504,1600,3828.355847
-98.867245,86,3830.303948
-87.806777,1600,3865.117487
-114.096172,95,3867.143032
-110.512955,53,3868.276417
-110.8664,66,3869.792218
-100.287404,122,3872.389893
-112.406181,55,3873.552143
-116.299765,94,3875.639735
-99.625265,120,3878.199222
-103.216086,1600,3913.183342
-110.144604,63,3914.581341
-100.764462,1600,3949.682134
-108.774,169,3953.386541
-110.575031,78,3955.150035
-99.660021,1600,3990.259574
-93.331288,1600,4025.259337
-95.798911,129,4028.010147
-98.14351,1600,4063.021618
-101.172785,81,4064.840959
-107.668101,63,4066.184478
-94.084221,1600,4101.260252
-103.953574,1600,4136.43686
-100.496476,165,4140.012109
-174.911854,982,4161.500915
-97.687751,91,4163.526245
-98.675424,71,4165.149541
-101.395653,308,4171.8503
-103.008455,200,4176.240674
-102.618972,70,4177.790098
-102.66446,1600,4212.797242
-101.867117,64,4214.19652
-105.597189,82,4215.990252
-115.308455,77,4217.63627
-109.926999,228,4222.768028
-131.561231,195,4227.026206
-122.039021,124,4229.788287
-94.738226,128,4232.512999
-114.834287,65,4233.94601
-112.250918,82,4235.76285
-108.560377,145,4238.842999
-90.03871,1600,4273.800378
-101.320199,62,4275.299429
-87.866453,1600,4310.273997
-104.211386,62,4311.655604
-105.912408,55,4312.83019
-84.947814,1600,4347.748185
-90.250152,1600,4382.56246
-105.934938,74,4384.194695
-136.395109,115,4386.696139
-100.662095,62,4388.008198
-89.128237,1600,4422.864145
-96.559371,1600,4457.710599
-108.995218,151,4461.079665
-102.202068,83,4462.840264
-105.630837,74,4464.46721
-110.797968,64,4465.889975
-104.686416,66,4467.282351
-108.572237,76,4468.906668
-104.380776,57,4470.169611
-134.520448,229,4475.135019
-93.415953,1600,4509.904602
-120.033204,81,4511.688406
-61.646265,1600,4546.398221
-108.823282,69,4547.906389
-107.155427,1600,4582.767474
-146.399585,958,4603.471816
-100.593995,86,4605.340276
-150.756263,979,4626.49293
-102.276772,54,4627.650845
-102.807556,58,4628.892546
-101.083038,56,4630.182492
-103.780616,60,4631.462663
-101.330373,83,4633.23877
-102.584937,58,4634.511536
-108.461051,80,4636.300467
-101.151709,75,4637.893691
-121.784112,116,4640.57998
-102.001293,66,4641.992952
-102.345059,61,4643.295211
-100.856146,91,4645.337115
-102.262234,98,4647.409068
-103.254377,119,4650.010703
-107.506231,119,4652.617074
-105.442531,100,4654.787784
-132.461446,649,4668.901068
-113.864237,67,4670.390919
-101.536844,76,4672.067305
-110.735061,69,4673.509235
-102.396336,1600,4708.25028
-104.22112,164,4711.815988
-106.214924,78,4713.519621
-101.211877,71,4715.076682
-103.44283,86,4716.96718
-105.705465,80,4718.707155
-114.754558,78,4720.428834
-106.497936,48,4721.462883
-105.449351,212,4726.080243
-102.874052,65,4727.509219
-97.432788,72,4729.149652
-113.900343,292,4735.498894
-110.358845,80,4737.195967
-103.339892,70,4738.737335
-100.284353,56,4739.977449
-103.889885,57,4741.187792
-101.336395,56,4742.379532
-111.686847,83,4744.185377
-109.054951,66,4745.646159
-103.362722,85,4747.473397
-101.946795,66,4748.928412
-98.275358,106,4751.250168
-105.353691,42,4752.150113
-102.089908,106,4754.471404
-80.728905,1600,4789.287298
-107.633077,101,4791.497156
-111.552356,173,4795.30656
-102.128694,66,4796.736897
-111.493951,68,4798.192273
-111.323999,248,4803.651998
-102.438465,98,4805.803021
-71.83504,1600,4841.131586
-172.76288,1420,4872.280303
-103.978365,54,4873.435187
-96.278592,84,4875.283785
-106.210692,57,4876.555395
-108.715909,86,4878.465951
-64.590467,1600,4913.41171
-103.363825,49,4914.512779
-100.911891,67,4915.987314
-153.397994,1254,4943.39658
-101.569265,58,4944.689726
-105.838065,78,4946.362311
-100.472623,70,4947.839123
-99.369075,71,4949.448019
-100.562413,71,4950.973432
-101.141096,54,4952.131912
-110.921585,357,4959.949816
-96.521497,113,4962.371679
-99.102762,72,4964.034802
-100.901369,69,4965.500531
-97.53971,81,4967.234516
-95.958358,86,4969.189219
-103.750025,50,4970.29662
-103.429685,86,4972.114859
-100.244935,72,4973.639783
-98.504302,62,4975.056145
-96.957829,93,4977.026964
-98.072197,136,4980.055026
-121.756499,108,4982.377364
-114.677879,82,4984.103685
-105.355575,65,4985.586232
-96.599674,142,4988.605452
-100.905564,71,4990.241905
-96.318018,100,4992.383467
-118.887323,82,4994.130525
-102.516095,77,4995.877052
-129.057338,202,5000.327105
-96.901399,201,5004.89644
-101.124396,82,5006.780082
-116.152392,74,5008.617198
-60.105242,1600,5043.823997
-45.086454,1600,5078.794298
-101.037317,139,5081.830695
-101.794071,73,5083.425001
-105.27293,66,5084.898436
-98.558669,71,5086.426133
-103.550599,130,5089.334489
-100.826544,80,5091.039538
-117.353211,452,5100.930668
-98.73312,81,5102.727165
-103.275563,132,5105.611901
-97.775423,90,5107.533496
-109.417722,110,5109.997231
-104.171292,66,5111.392826
-117.22454,499,5122.311157
-103.312906,70,5123.84582
-111.870183,70,5125.381092
-103.194593,88,5127.270488
-58.199672,1600,5162.282757
-97.512664,263,5168.003987
-115.374529,134,5171.042297
-123.488504,92,5173.01696
-127.236264,740,5189.315093
-117.795712,385,5197.707947
-55.899977,1600,5232.63745
-96.016317,210,5237.211407
-101.381503,72,5238.803372
-102.98121,100,5240.978514
-142.834322,514,5252.183126
-39.71107,1600,5287.106638
-108.540163,59,5288.421057
-106.357056,128,5291.242751
-113.775712,70,5292.809704
-119.195496,526,5304.390448
-124.101942,841,5323.826694
-156.178497,1565,5361.106016
-131.277449,164,5365.891889
-80.253827,1600,5406.637331
-107.029812,105,5409.438738
-108.381121,235,5416.049872
-107.138893,96,5418.453482
-46.126993,1600,5455.938022
-52.638259,1600,5490.981299
-59.774501,1600,5526.268879
-107.006855,159,5529.765958
-100.449138,108,5532.106355
-58.376631,1600,5567.160323
-51.220506,1600,5602.158417
-99.560738,97,5604.244847
-101.041871,68,5605.749596
-61.62745,1600,5640.890241
-103.348166,66,5642.304844
-84.243038,1600,5677.320574
-103.867595,56,5678.568741
-76.868756,1600,5713.418941
-103.536602,76,5715.109165
-77.310627,1600,5750.365307
-79.048001,1600,5785.606078
-105.301854,49,5786.718104
-122.390506,101,5788.867994
-109.438841,58,5790.172934
-109.921341,86,5792.049757
-80.966675,1600,5826.865816
-79.832472,1600,5872.205847
-106.658492,42,5873.107814
-123.479161,68,5874.776703
-84.894793,1600,5912.435768
-77.977519,1600,5950.512968
-64.132422,1600,5989.669483
-122.840801,87,5991.680512
-126.522058,81,5993.773399
-115.443648,73,5995.638673
-104.260388,119,5998.683178
-73.157743,1600,6035.570224
-103.694484,97,6037.653571
-107.201759,84,6039.592985
-117.563142,60,6040.906593
-115.638013,61,6042.228273
-108.205885,188,6046.431883
-98.69846,71,6047.969106
-126.38787,75,6049.712851
-67.057086,1600,6086.042896
-116.626841,649,6100.675281
-114.308974,67,6102.199262
-99.211807,89,6104.170694
-101.856335,82,6105.951157
-99.340617,90,6108.016701
-99.682168,64,6109.486522
-49.949506,1600,6146.558848
-98.259684,68,6148.377722
-97.183858,101,6150.648818
-116.622266,85,6152.856689
-106.982372,76,6155.019819
-126.602359,103,6157.441645
-103.661639,54,6158.808082
-41.833397,1600,6196.966304
-107.039489,78,6198.96478
-118.340019,92,6201.133014
-125.787943,74,6203.060941
-99.00552,82,6205.14212
-102.08856,87,6207.251231
-98.784944,83,6209.559227
-116.691938,75,6211.689408
-102.135549,71,6213.669861
-104.592599,80,6215.820673
-101.574379,63,6217.419254
-106.153986,91,6219.947456
-113.733245,47,6221.125216
-102.255517,81,6223.286972
-127.337743,146,6227.118227
-118.465266,81,6229.402325
-102.024706,67,6230.997462
-103.800698,53,6232.201205
-115.110296,69,6233.964321
-123.046976,117,6237.067595
-100.843303,58,6238.541852
-104.292835,62,6239.945898
-106.107999,59,6241.328388
-125.878605,101,6243.711927
-105.101811,98,6246.045752
-122.033255,89,6248.034314
-123.063621,60,6249.409545
-104.30045,65,6250.967898
-101.982392,68,6252.569587
-101.174119,61,6254.11526
-100.632647,97,6256.43164
-107.325483,66,6257.987432
-100.37294,85,6259.892881
-114.508596,71,6261.486888
